rewrite_prompts,cosine_sim(Improve the text)
Transform this into a fairy tale.,0.54121876
Write it as a hard-boiled detective story.,0.4857419
Convert it into a Shakespearean soliloquy.,0.564335
Rewrite this as a modern-day sitcom script.,0.48245862
Turn it into a classic Greek tragedy.,0.4713241
Make it a heartfelt country song.,0.48360932
Recast it as a futuristic science fiction tale.,0.5210028
"Adapt it into a silent film screenplay, complete with stage directions.",0.5357603
Present it as a diary entry from the 18th century.,0.55826277
Craft it into an epic Viking saga.,0.49714154
Rewrite it as a breaking news report.,0.54563844
Convert it into a Broadway musical number.,0.51917034
Style it as a beat poetry piece.,0.58044434
Change it into a children's bedtime story.,0.5647429
Reformulate it as a 1920s jazz song.,0.50786513
Transform it into a comic book adventure.,0.52932185
Rewrite it as an inspirational sports movie speech.,0.54160196
Turn it into a philosophical debate.,0.49450645
Adapt it as a letter written during the American Civil War.,0.5223688
Craft it into a 1950s science fiction B-movie script.,0.5079901
Make it a Victorian-era love letter.,0.5547396
Rewrite it as a medieval ballad.,0.5145254
Convert it into a spy thriller dossier.,0.5363529
Style it as a passionate telenovela scene.,0.5313901
Change it into a horror story set in a remote cabin.,0.4814199
Recast it as an astronaut's log entry.,0.52212435
Transform it into a cooking recipe with a twist.,0.5039223
Write it as a fast-paced heist plot.,0.43704548
Turn it into a motivational speech by a famous athlete.,0.5264089
Adapt it into a heartfelt letter home from a soldier.,0.5237604
Make it an old-time radio drama script.,0.51664484
Rewrite it as a documentary film narration.,0.5344903
Convert it into a political campaign speech.,0.572791
Style it as an avant-garde theater monologue.,0.5177185
Change it into a wildlife documentary commentary.,0.5963367
Craft it into a steamy romance novel excerpt.,0.573916
Recast it as a travel blog post from an exotic location.,0.5557723
Transform it into a dystopian novel opening.,0.57250255
Rewrite it as a classic noir film voice-over.,0.5599561
Turn it into a listicle for a modern lifestyle magazine.,0.5591895
Adapt it as an ancient Egyptian hieroglyphic message.,0.5401373
Make it a philosophical musing by a renowned thinker.,0.5221095
Rewrite it as a cyberpunk cityscape description.,0.5295601
Convert it into a heartfelt eulogy.,0.4958487
Style it as a passionate opera aria.,0.50541097
Change it into an interactive choose-your-own-adventure segment.,0.49915504
Recast it as a vintage radio advertisement.,0.5157193
Craft it into a solemn oath for a knight's initiation.,0.46647355
Transform it into an early explorer's journal entry.,0.5348987
Write it as a poignant World War II love letter.,0.4769439
Turn it into a mysterious fortune teller's prophecy.,0.47977257
Adapt it into an old Western showdown dialogue.,0.5307288
Make it a '90s sitcom family lesson monologue.,0.47056112
Rewrite it as a magic spell incantation.,0.52952266
Convert it into a lively carnival barker's pitch.,0.5038672
Style it as a TED Talk on a futuristic technology.,0.54257035
Change it into a detective's notes on a case.,0.569535
Craft it into a pirate captain's log.,0.45466778
Recast it as a celebrity chef's signature dish recipe.,0.44599167
Transform it into an indie film director's concept pitch.,0.5423966
Rewrite it as an ancient mariner's tale.,0.5412088
Turn it into a poignant war correspondent's report.,0.5461205
Adapt it as a medieval alchemist's secret manuscript.,0.5198651
Make it a high fantasy quest briefing.,0.52711743
Rewrite it as a satirical political commentary.,0.52811104
Convert it into a heartfelt volunteer mission statement.,0.5430347
Style it as a silent meditation retreat brochure.,0.547435
Change it into a 60s peace and love song.,0.51118195
Recast it as an espionage thriller plot twist.,0.45079988
Craft it into a zen koan for contemplation.,0.5269947
Transform it into a retro-futuristic advertisement.,0.5418855
Write it as a noir detective's inner monologue.,0.50839096
Turn it into a vaudeville stage act introduction.,0.5126083
Adapt it as a solemn vow between medieval lords.,0.4647265
Make it a gladiator's final monologue before battle.,0.46920985
Rewrite it as a space opera's opening crawl.,0.47788545
Convert it into a televangelist's sermon.,0.5274022
Style it as an angsty teenage diary entry.,0.5353215
Change it into a motivational locker room pep talk.,0.5345325
Recast it as a survivalist's guide for the apocalypse.,0.5189107
Transform it into an art critique for a revolutionary masterpiece.,0.5799377
Write it as a conspiracy theorist's blog post.,0.48734474
Turn it into a heartfelt plea for environmental conservation.,0.5157499
Adapt it as a deep-sea explorer's discovery log.,0.50810945
Make it a '50s rock n' roll hit.,0.45431694
Rewrite it as an old sage's wisdom to a young hero.,0.5851507
Convert it into a user manual for a time machine.,0.57819104
